app,est,h,beta,se,lo,hi
BVX,SPJ,2,-3.3338840587445238,0.937146851337064,-5.170691887365169,-1.497076230123878
BVX,SPJ,3,-3.858172653590327,1.1321387042141946,-6.077164513850148,-1.6391807933305054
BVX,SPJ,4,-4.213259334339428,1.3783216914583958,-6.914769849597883,-1.5117488190809725
BVX,SPJ,5,-3.756247731690536,1.5797961290721234,-6.852648144671898,-0.6598473187091733
BVX,SPJ,6,-2.987041100508189,1.800071773356401,-6.515181776286735,0.5410995752703567
BVX,HPJ,1,-3.1842384186800747,0.5399251346114091,-4.242491682518437,-2.125985154841713
BVX,HPJ,2,-4.611481800553894,0.8555788719477883,-6.288416389571559,-2.9345472115362288
BVX,HPJ,3,-5.796667005508327,1.0013803087921722,-7.759372410740984,-3.8339616002756687
BVX,HPJ,4,-5.671628710858902,1.1454499462997945,-7.916710605606498,-3.4265468161113044
BVX,HPJ,5,-5.139171190901195,1.3474854644678562,-7.780242701258192,-2.4980996805441964
BVX,HPJ,6,-3.5360137668351515,1.5571827269329102,-6.588091911623655,-0.4839356220466477
BVX,DB,1,-2.6458995478818146,0.5399251346114019,-3.7041528117201614,-1.5876462840434669
BVX,DB,2,-2.8876725588402423,0.8555788719477785,-4.564607147857888,-1.2107379698225966
BVX,DB,3,-3.379288257739824,1.0013803087921784,-5.341993662972493,-1.4165828525071538
BVX,DB,4,-3.421739514046299,1.1454499462997831,-5.666821408793874,-1.176657619298724
BVX,DB,5,-2.737894516226933,1.347485464467856,-5.378966026583932,-0.0968230058699357
BVX,DB,6,-2.123194641517174,1.5571827269328855,-5.17527278630563,0.9288835032712824
BVX,CDOLS,1,-0.2201461937008264,0.4171397285530169,-1.0377400616647394,0.5974476742630866
BVX,CDOLS,2,2.2782164326183523,0.4522863121430278,1.3917352608180176,3.164697604418687
BVX,CDOLS,3,1.6209910093214706,0.2837227769962777,1.0648943664087662,2.177087652234175
BVX,CDOLS,4,2.2209378646806908,0.3650576460998671,1.505424878324951,2.9364508510364304
BVX,CDOLS,5,2.6650348676609963,0.3054607296220591,2.0663318376017603,3.2637378977202323
BVX,CDOLS,6,2.6144157906039456,0.2693258786521673,2.086537068445698,3.1422945127621933
MSV,FE,1,0.2103706962060566,0.0818769976257089,0.049891780859667,0.3708496115524462
MSV,FE,2,0.2581637244742891,0.1239877307955755,0.0151477721149609,0.5011796768336172
MSV,FE,3,0.2186805958084556,0.1645182662262514,-0.1037752059949972,0.5411363976119086
MSV,FE,4,0.0204980906477888,0.1919123860401866,-0.3556501859909768,0.3966463672865546
MSV,FE,5,-0.1565287155689119,0.1924890408481331,-0.5338072356312529,0.2207498044934289
MSV,FE,6,-0.3103160185156729,0.1930873350825069,-0.6887671952773864,0.0681351582460405
MSV,FE,7,-0.3870785517214023,0.1843462803799829,-0.7483972612661689,-0.0257598421766357
