est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode,het_rho,het_beta
SPJ,9,0.0090563255766854,0.0555954354400084,0.044166656492486,0.8033333333333333,0.1966666666666666,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
SPJ,10,0.0107216970176933,0.0567901511074704,0.0451460691988871,0.81,0.19,300,main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,,,
CDOLS,0,-0.0013095429696555,0.0191698835791596,0.0157145141271043,0.9533333333333334,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,1,-0.021710891302058,0.0306816516039876,0.0251418598594794,0.8233333333333334,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,2,-0.0309100026383747,0.0375244080475122,0.0325280663862057,0.6966666666666667,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,3,-0.0359767465742376,0.0421887796204661,0.037100246564989,0.6333333333333333,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,4,-0.0384024628566405,0.0447508574168389,0.0392155732432441,0.61,0.9033333333333332,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,5,-0.0399667728025067,0.0454889323460963,0.0403484872655703,0.5933333333333334,0.73,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,6,-0.0405621723606267,0.0469005704684406,0.041358862192567,0.6066666666666667,0.5533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,7,-0.042744879408833,0.0479956037486424,0.0430269137165905,0.59,0.51,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,8,-0.0409428623862939,0.0475673346847715,0.0416714476492615,0.6366666666666667,0.4166666666666667,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,9,-0.039249037817403,0.046433864229654,0.0404142532537626,0.6466666666666666,0.3666666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,10,-0.0428635496376307,0.0489032291533507,0.04313417664271,0.6333333333333333,0.3766666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,0,-0.0013329724740979,0.0119595817846938,0.009435433963473,0.9566666666666668,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,1,0.0014265222843562,0.0152123471783907,0.0122493812554531,0.9466666666666668,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,2,0.0042788729635545,0.0179962799609948,0.0145915876078597,0.9166666666666666,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,3,0.0055192548175003,0.0187251824323297,0.0146970654117147,0.8766666666666667,0.9933333333333332,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,4,0.0060247260738788,0.0185325423588693,0.0145799740249241,0.9133333333333332,0.4966666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,5,0.0060489518073137,0.0178403972540253,0.0140009368813702,0.9233333333333332,0.1166666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,6,0.005806059928321,0.0167218093867876,0.0132644432162726,0.9433333333333334,0.0566666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,7,0.0055901180368953,0.0167203610494507,0.0130338055042806,0.9366666666666666,0.0466666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,8,0.0071561845858464,0.0195745759099476,0.0159770856607058,0.8966666666666666,0.0766666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,9,0.0073841359840197,0.0193438360284139,0.0156101390428322,0.9033333333333332,0.1,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
DB,10,0.0044912260456295,0.0180961117276254,0.0146399593213695,0.94,0.0533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,0,-0.0013329724740979,0.0119595817846938,0.009435433963473,0.9566666666666668,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,1,0.0187453271786943,0.0239710793163521,0.0202156987613792,0.7433333333333333,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,2,0.0298186011226925,0.0344102096747801,0.0302087764233039,0.51,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,3,0.0349266870858707,0.0391199455231652,0.0353297881871363,0.3833333333333333,0.73,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,4,0.0372019507177577,0.0410552553810691,0.0374670327247066,0.35,0.0733333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,5,0.0379696040427567,0.0414797745306928,0.038157019620373,0.3466666666666667,0.25,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,6,0.0379515719792664,0.0410705846007086,0.0380124619200474,0.3566666666666667,0.3933333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,7,0.0376806822962085,0.0408402128045635,0.0377671484545448,0.3733333333333333,0.5133333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,8,0.0390219118590461,0.0430407014768354,0.0392285170529374,0.3533333333333333,0.6133333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,9,0.0389029253421615,0.0428041289893214,0.0390100592579359,0.37,0.5933333333333334,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
FE,10,0.0355583523995291,0.0396465796354643,0.035944443313404,0.4266666666666667,0.5533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,0,0.0013424878540524,0.0354485440144147,0.0284188399568125,0.5033333333333333,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,1,0.0210776734526581,0.0474345887464697,0.0376865164899009,0.4933333333333333,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,2,0.0263979095095559,0.0510888097197039,0.0403176174476004,0.46,0.98,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,3,0.0338312359965231,0.0555034616174327,0.0443724388195742,0.4266666666666667,0.6433333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,4,0.0366742150732959,0.0587121358630193,0.0473498771270913,0.3833333333333333,0.48,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,5,0.0389075385492837,0.0606835623100605,0.0494877104216676,0.36,0.5366666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,6,0.0392102793455632,0.0594005444385174,0.0474512259678191,0.3966666666666666,0.5533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,7,0.0376652725660274,0.0614528628515668,0.0509221282927796,0.3366666666666666,0.6533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,8,0.0422992751295791,0.0645640575059028,0.0529724817006168,0.36,0.6366666666666667,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,9,0.0417378329851627,0.0650473870280282,0.0520323093102065,0.3966666666666666,0.5966666666666667,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
HPJ,10,0.0374627263642159,0.0610963336269466,0.0478646886922404,0.4466666666666666,0.5533333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,0,-0.0015129658725817,0.0124588207247074,0.0100454523554706,0.97,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,1,-0.0007620678421591,0.0158530953906241,0.0128399311459974,0.9566666666666668,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,2,0.0014746980133581,0.018538624497059,0.0150372186085483,0.93,1.0,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,3,0.0031922098194369,0.0195122238195385,0.0153567048173807,0.8933333333333333,0.9766666666666668,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,4,0.0050205382976147,0.0202541707277707,0.0160159830511706,0.9066666666666666,0.4633333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,5,0.0067713995823381,0.0197829569933474,0.0157980309372292,0.9266666666666666,0.1066666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,6,0.0088146540970987,0.0199656551821337,0.0158942517779661,0.9066666666666666,0.0466666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,7,0.0112466661532281,0.0209855383118567,0.0164647235494179,0.9133333333333332,0.0666666666666666,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,8,0.01554488304375,0.0253991518826837,0.0206941636303967,0.85,0.13,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,9,0.0189956180240329,0.0274199629884906,0.022682366513471,0.8033333333333333,0.1833333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
SPJ,10,0.0199494618993227,0.0272709996329852,0.0228683415294368,0.8133333333333334,0.1833333333333333,300,main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,,,
CDOLS,0,-0.0005049121096934,0.0298643973263065,0.0239727367783752,0.94,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,1,-0.0126395101218586,0.0443076343922426,0.0349193095577253,0.56,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,2,-0.0152096532274339,0.0492332233284988,0.0392876897618483,0.52,0.9966666666666668,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,3,-0.0199659828360264,0.0533003840790896,0.0416649300665713,0.5066666666666667,0.9033333333333332,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,4,-0.0202216466071975,0.053774089513884,0.0421093141635691,0.5233333333333333,0.6833333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,5,-0.0176774056125534,0.0569780530791913,0.0455559698386765,0.48,0.5566666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,6,-0.0200267693566768,0.0589353756146736,0.0471714098157784,0.47,0.5633333333333334,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,7,-0.0238353628791828,0.0573285686970471,0.0464066617851451,0.4766666666666667,0.5533333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,8,-0.024084010877524,0.0591184337345522,0.0466387570312088,0.5033333333333333,0.5166666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,9,-0.0214334309451927,0.0606774257960986,0.0484837893381085,0.48,0.5366666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,10,-0.0216623893314983,0.0629700330381373,0.0504265102928253,0.46,0.5366666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,0,-0.0008861072500788,0.0221516844868755,0.0175222438148239,0.65,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,1,0.0011547654540436,0.0385764246810381,0.0300178344931405,0.83,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,2,0.0030734771602786,0.0501462438955814,0.0388742368133245,0.7766666666666666,0.9466666666666668,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,3,0.0021603509952032,0.054111024847866,0.0419883975082155,0.7633333333333333,0.5966666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,4,0.0030779055481467,0.0552571275103763,0.043931684759129,0.7766666666666666,0.33,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,5,0.0043839513212544,0.0586137453281527,0.0472631763643364,0.7066666666666667,0.3,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,6,0.0022766347718603,0.0581912579074363,0.0465163888316988,0.7166666666666667,0.2866666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,7,-0.0001112502596442,0.056282262757074,0.0440682386119758,0.7633333333333333,0.2233333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,8,0.0012409215122448,0.0558873378307311,0.0446437070364801,0.7766666666666666,0.22,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,9,0.0042427882019854,0.0563278874316108,0.0448070014974607,0.7466666666666667,0.2466666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
DB,10,0.0057721549388303,0.0582833920998093,0.0462103827116532,0.75,0.25,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,0,-0.0008861072500788,0.0221516844868755,0.0175222438148239,0.65,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,1,0.0185295297394891,0.0421528141212893,0.0341139755835344,0.7966666666666666,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,2,0.0287660538399689,0.0564460086029898,0.0455493807778245,0.7,0.8766666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,3,0.0318615732963903,0.0614479991637998,0.0502270358961074,0.6533333333333333,0.3566666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,4,0.0346913683499796,0.0640519868967406,0.0524670894099627,0.6366666666666667,0.23,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,5,0.0368595088364314,0.0681398447530462,0.0554152675654773,0.5833333333333334,0.3133333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,6,0.0350647921739407,0.0671522061738345,0.0549462535608814,0.6066666666666667,0.34,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,7,0.0326811907473557,0.0648032543525556,0.051668689611718,0.6766666666666666,0.31,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,8,0.0338449058614857,0.0653764914207293,0.0520764127601694,0.6566666666666666,0.3333333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,9,0.0365190816971088,0.0672666901672637,0.053654494371184,0.65,0.3333333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
FE,10,0.0376034991878114,0.0696723422561401,0.0555116637796485,0.66,0.3333333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,0,-0.0003738862659334,0.0625874379932217,0.0502576321165293,0.2366666666666666,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,1,0.0214329551577984,0.0524669505942561,0.0425162801294362,0.7166666666666667,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,2,0.0324086946701959,0.0663579608139997,0.054039244366682,0.61,0.81,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,3,0.0342171062626433,0.0712491638305382,0.0582412314670595,0.56,0.4,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,4,0.035882367901424,0.0732056592731892,0.0594633380854397,0.5966666666666667,0.3166666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,5,0.0380799303974219,0.0768581783751307,0.0627852747653436,0.57,0.3966666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,6,0.0346992893276257,0.0735378115056516,0.059470202404402,0.5733333333333334,0.4033333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,7,0.0322964663825933,0.0694128018280989,0.0531408317374556,0.6833333333333333,0.2966666666666667,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,8,0.0362011154723027,0.0737440767351697,0.057708619538707,0.61,0.38,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,9,0.0340164100457518,0.0761389393800663,0.0591183573015861,0.6133333333333333,0.38,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
HPJ,10,0.0370922275775393,0.0813471832795861,0.0632476350034027,0.61,0.3833333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,0,-0.0006118479849771,0.0223600443496289,0.0174258815152549,0.68,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,1,-0.0037983700805677,0.0429536626300608,0.0327215191792473,0.8466666666666667,1.0,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,2,-0.0021880710994555,0.0580037002229342,0.0440917051405131,0.78,0.9466666666666668,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,3,-0.0019591490108993,0.0641084906720888,0.0484733749717101,0.75,0.58,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,4,0.0012581308691578,0.0672686687287597,0.052236250970772,0.7133333333333334,0.3266666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,5,0.0043738084457685,0.0713131728636645,0.0565006757217231,0.69,0.3266666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,6,0.0057531651713062,0.0704027064527076,0.0551884762283381,0.6866666666666666,0.3166666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,7,0.0058637910001798,0.0681197569147434,0.0514849246106229,0.75,0.2433333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,8,0.0095871124432995,0.0685201128198834,0.0525037096434734,0.7433333333333333,0.26,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,9,0.0159959317302394,0.0708348353406314,0.0558811380203229,0.7133333333333334,0.2833333333333333,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
SPJ,10,0.0211867285680393,0.0724067243544464,0.0571993680446064,0.68,0.3166666666666666,300,main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,,,
CDOLS,0,-0.0013405277219641,0.0192555717477567,0.0157740502663573,0.9533333333333334,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,1,-0.0187844672407826,0.0287908466130275,0.0232639402935995,0.8633333333333333,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,2,-0.0317855053537049,0.0387539211412838,0.0336022327207496,0.6933333333333334,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,3,-0.0428714317037231,0.0486706990643449,0.0436362418120291,0.5266666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,4,-0.051656756695952,0.0570684062392922,0.0518500857917098,0.4133333333333333,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,5,-0.0593187571815982,0.0637822962302011,0.0593332353739795,0.32,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,6,-0.0651487712219304,0.070022113222207,0.0651943000165839,0.2833333333333333,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,7,-0.0715980982203153,0.0754995440756028,0.0715996376164122,0.19,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,8,-0.0734981295385473,0.0781363856187111,0.0735059619341318,0.2166666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,9,-0.0748602984937176,0.0796113474901691,0.0748602984937176,0.2166666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
CDOLS,10,-0.0808460733425728,0.084994029886523,0.0808460733425728,0.1566666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
DB,0,-0.0005725963379659,0.0091084278402384,0.0071989925478923,0.95,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
DB,1,0.0049408304941284,0.0127106784147309,0.0103576639170885,0.9066666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
DB,2,0.0106248751963108,0.0183767042594893,0.0150632689537924,0.7966666666666666,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
DB,3,0.0153920476997486,0.0228730785919946,0.0186636051192513,0.7133333333333334,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
DB,4,0.0195910880820697,0.0268568768173063,0.0222337681988323,0.64,1.0,300,main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,,,
