cell,N,T,rho,sig_lam,est,D_I,bias_hmean,coverage_hmean,rmse_hmean,grade
main_N100_T20_rho0.95_xsd1,100,20,0.95,1.0,FE,0.22839326990425252,0.22594260661724053,0.1547619047619047,0.2772120649211332,poor
main_N100_T20_rho0.95_xsd1,100,20,0.95,1.0,HPJ,0.22975346466346067,0.2239625372531144,0.10999999999999999,0.2829103407230056,poor
main_N100_T20_rho0.95_xsd1,100,20,0.95,1.0,SPJ,0.15204813359649652,0.11934265423352299,0.4509523809523809,0.2167098426360733,poor
main_N100_T50_rho0.2_xsd0,100,50,0.2,0.0,CDOLS,0.027801922019797597,-0.02430987571098406,0.8021212121212122,0.03358890656203573,poor
main_N100_T50_rho0.2_xsd0,100,50,0.2,0.0,DB,0.013672261762785699,0.0016753775566804088,0.9445454545454545,0.017194428094606563,good
main_N100_T50_rho0.2_xsd0,100,50,0.2,0.0,FE,0.02005782226556835,0.01656057382538982,0.8224242424242424,0.024484240821242766,poor
main_N100_T50_rho0.2_xsd0,100,50,0.2,0.0,HPJ,0.04026252035502273,0.01723295597346793,0.4842424242424243,0.05041304195844831,poor
main_N100_T50_rho0.2_xsd0,100,50,0.2,0.0,SPJ,0.014885212178994965,0.004639720357717964,0.9369696969696968,0.01866846535936848,good
main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,CDOLS,0.03824226283519556,-0.01234453576757849,0.5654545454545454,0.04879223127147092,poor
main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,DB,0.0366266261426822,-6.282102606410992e-05,0.7969696969696969,0.04671345066568434,poor
main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,FE,0.038891560334338784,0.015084443983035711,0.7772727272727273,0.04923467848755541,poor
main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,HPJ,0.05031488868138028,0.015956921617977772,0.6621212121212121,0.0641830381256794,poor
main_N100_T50_rho0.2_xsd1,100,50,0.2,1.0,SPJ,0.03941772904297985,0.0025739001405635635,0.7957575757575757,0.05085977771452249,poor
main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,CDOLS,0.03633221826377131,-0.034058083704932754,0.6748484848484849,0.04251441156691932,poor
main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,DB,0.013825437444568682,0.004763007277565227,0.923030303030303,0.01746343507280578,good
main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,FE,0.03279785269811286,0.03149496741362596,0.4700000000000001,0.037476592958423594,poor
main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,HPJ,0.045352348566028114,0.03241876789326522,0.4148484848484848,0.057020148703865056,poor
main_N100_T50_rho0.5_xsd0,100,50,0.5,0.0,SPJ,0.016699742537862303,0.008066826837767218,0.8972727272727272,0.021132151411220084,moderate
main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,CDOLS,0.04242155258453016,-0.017932824900439803,0.5381818181818181,0.054070617721071954,poor
main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,DB,0.040531208403839857,0.002398690217647664,0.7506060606060607,0.052360205708908716,poor
main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,FE,0.04755931883012104,0.029594126952716626,0.6609090909090909,0.06055596202272731,poor
main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,HPJ,0.05636260426509488,0.0305411524481239,0.5800000000000001,0.07102795652645168,poor
main_N100_T50_rho0.5_xsd1,100,50,0.5,1.0,SPJ,0.047609729458780385,0.005041930004735537,0.7303030303030303,0.06323269781112013,poor
main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,CDOLS,0.05395145978744027,-0.0519735287922553,0.4393939393939394,0.062279357126644785,poor
main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,DB,0.023411359646935234,0.020748094533948644,0.6321212121212121,0.0293647794425303,poor
main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,FE,0.07428046161009615,0.07356463757252611,0.12575757575757573,0.08319339818568396,poor
main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,HPJ,0.07846452060816515,0.07477280721297835,0.16727272727272727,0.09389090899428457,poor
main_N100_T50_rho0.8_xsd0,100,50,0.8,0.0,SPJ,0.02408071507793236,0.014732968561823783,0.7733333333333334,0.03219695643772116,poor
main_N100_T50_rho0.8_xsd1,100,50,0.8,1.0,CDOLS,0.0535215257651108,-0.029396625643789233,0.4981818181818181,0.06996695579900522,poor
main_N100_T50_rho0.8_xsd1,100,50,0.8,1.0,DB,0.05425949641229455,0.02132677943660861,0.5748484848484848,0.0713349786030198,poor
main_N100_T50_rho0.8_xsd1,100,50,0.8,1.0,FE,0.08363653452911006,0.07475691675213025,0.36060606060606054,0.10446444143831372,poor
main_N100_T50_rho0.8_xsd1,100,50,0.8,1.0,HPJ,0.08735211065724123,0.07536176877916553,0.33939393939393936,0.10988909152398708,poor
main_N100_T50_rho0.8_xsd1,100,50,0.8,1.0,SPJ,0.07236498244527803,0.014075939632155192,0.5463636363636364,0.09859944962931275,poor
main_N100_T50_rho0.95_xsd0,100,50,0.95,0.0,CDOLS,0.06319596630443113,-0.06084477996011102,0.43363636363636365,0.07569066437876576,poor
main_N100_T50_rho0.95_xsd0,100,50,0.95,0.0,DB,0.059264496350692066,0.05879962884789149,0.19606060606060607,0.07240834808823403,poor
main_N100_T50_rho0.95_xsd0,100,50,0.95,0.0,FE,0.1239453702745331,0.12352258280958571,0.08787878787878788,0.14419027878446364,poor
main_N100_T50_rho0.95_xsd0,100,50,0.95,0.0,HPJ,0.12586406416004353,0.12409941644057422,0.0839393939393939,0.1523857054222248,poor
main_N100_T50_rho0.95_xsd0,100,50,0.95,0.0,SPJ,0.03221355262366792,0.01954162577838002,0.7266666666666667,0.046758309536399534,poor
main_N100_T50_rho0.95_xsd1,100,50,0.95,1.0,CDOLS,0.0677005550459215,-0.039460933893360646,0.4796969696969697,0.09588215272316217,poor
main_N100_T50_rho0.95_xsd1,100,50,0.95,1.0,DB,0.0845547959202122,0.0779830959973066,0.3366666666666666,0.11020886205034038,poor
main_N100_T50_rho0.95_xsd1,100,50,0.95,1.0,FE,0.14523155404593951,0.14422187704994294,0.1615151515151515,0.17721381351806836,poor
main_N100_T50_rho0.95_xsd1,100,50,0.95,1.0,HPJ,0.14654463933924153,0.14420806707852232,0.14303030303030298,0.18110599252445866,poor
main_N100_T50_rho0.95_xsd1,100,50,0.95,1.0,SPJ,0.08695052237236384,0.0426099437389436,0.5206060606060606,0.12305378929932867,poor
main_N200_T100_rho0.2_xsd0,200,100,0.2,0.0,CDOLS,0.024798722423583153,-0.02403563496948262,0.3836363636363636,0.027601122217007754,poor
main_N200_T100_rho0.2_xsd0,200,100,0.2,0.0,DB,0.006486322008360437,0.000500178150360577,0.9484848484848485,0.008189385877354223,good
main_N200_T100_rho0.2_xsd0,200,100,0.2,0.0,FE,0.009915182859628818,0.008262036742320338,0.8209090909090908,0.011968490297991958,poor
main_N200_T100_rho0.2_xsd0,200,100,0.2,0.0,HPJ,0.01944316403204101,0.00761455046962381,0.4866666666666667,0.024389933300348013,poor
main_N200_T100_rho0.2_xsd0,200,100,0.2,0.0,SPJ,0.006699309942591555,0.0010427143687943999,0.9475757575757574,0.008442862011908223,good
main_N200_T100_rho0.2_xsd1,200,100,0.2,1.0,CDOLS,0.025895379701223544,-0.011784463534088173,0.4475757575757576,0.03295138073709997,poor
main_N200_T100_rho0.2_xsd1,200,100,0.2,1.0,DB,0.024255113949524378,0.0010747126459993636,0.7830303030303031,0.030875943322532642,poor
main_N200_T100_rho0.2_xsd1,200,100,0.2,1.0,FE,0.025397232416468494,0.0087811145083163,0.7672727272727272,0.03213599327785238,poor
main_N200_T100_rho0.2_xsd1,200,100,0.2,1.0,HPJ,0.0316079928965839,0.00804694321321142,0.6824242424242424,0.039871297782183755,poor
main_N200_T100_rho0.2_xsd1,200,100,0.2,1.0,SPJ,0.025400564656655637,0.0017441569120050726,0.7775757575757577,0.032348124927956176,poor
main_N200_T100_rho0.5_xsd0,200,100,0.5,0.0,CDOLS,0.0345157103956462,-0.03379903164094217,0.19787878787878785,0.03770231885656252,poor
main_N200_T100_rho0.5_xsd0,200,100,0.5,0.0,DB,0.006482993012550745,0.0012636570103464544,0.9306060606060605,0.00813225074143126,good
main_N200_T100_rho0.5_xsd0,200,100,0.5,0.0,FE,0.016017409697832302,0.015409411726006754,0.4563636363636363,0.01828963171456969,poor
main_N200_T100_rho0.5_xsd0,200,100,0.5,0.0,HPJ,0.021868344510330737,0.014321196160706401,0.3987878787878787,0.02722983605643526,poor
