est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,mode
SPJ,3,0.000109208846801,0.0558919388941358,0.0440097988362107,0.9311111111111112,0.0688888888888888,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,4,-0.0018058073797323,0.0577928660576496,0.0456358833151041,0.9422222222222222,0.0577777777777777,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,5,-0.0033405354906263,0.0640516223731893,0.0517605304270206,0.9333333333333332,0.0666666666666666,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
SPJ,6,-0.0012731202086984,0.0668707799700245,0.0526937098050349,0.9222222222222224,0.0777777777777777,450,power_null_N20_T20_rho0.5_xsd0,20,20,0.5,0.0,null
CDOLS,0,-0.0035678133401657,0.0610535548411404,0.0490711025300669,0.9177777777777778,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,1,-0.0089224983239331,0.0583110854887932,0.0464195427414632,0.7711111111111111,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,2,-0.0118249061248541,0.0670929647636615,0.0537748078507296,0.74,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,3,-0.0197263398504446,0.0717686233616126,0.0570969134998399,0.7444444444444445,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,4,-0.0235070374823373,0.0794497135470611,0.0623624422914795,0.6977777777777778,0.9888888888888888,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,5,-0.0294131433441428,0.0820983983290197,0.0651702123140634,0.7111111111111111,0.9533333333333334,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,6,-0.0311863399029187,0.0876132102027685,0.0689906920279064,0.6911111111111111,0.8933333333333333,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,7,-0.0343017519478309,0.0922055139521079,0.0729329303165117,0.6822222222222222,0.78,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,8,-0.0389422082415333,0.0952149067653986,0.0762870788036473,0.6555555555555556,0.6866666666666666,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,9,-0.0425144116577814,0.0957027783065419,0.0770878737972798,0.6466666666666666,0.68,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
CDOLS,10,-0.0452279837032288,0.0991233699239532,0.0783248012983606,0.6844444444444444,0.5955555555555555,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,0,-0.0003720273937416,0.0265400434565377,0.0208723788733888,0.7577777777777778,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,1,0.0115764014541632,0.037423184387698,0.0291808359775794,0.8644444444444445,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,2,0.0203848496870083,0.0567673588762631,0.0458871494735207,0.8,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,3,0.0253567959978872,0.0716279255437942,0.0581104377359537,0.7622222222222222,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,4,0.030019315958149,0.0831076655801602,0.0669404561704904,0.7288888888888889,0.9377777777777778,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,5,0.0329528393295465,0.0910764360431323,0.0729692517345138,0.7044444444444444,0.7533333333333333,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,6,0.0354951973490378,0.0944256601724537,0.0766043198429915,0.6933333333333334,0.5533333333333333,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,7,0.0350911059883873,0.0945181596384241,0.077491706255353,0.7066666666666667,0.4,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,8,0.0342586544668192,0.0946613747864507,0.0786253232799705,0.7133333333333334,0.3177777777777777,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,9,0.0333373444654598,0.0920005011412132,0.0748434663021054,0.7377777777777778,0.2555555555555555,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
DB,10,0.0330469832513277,0.088663194782031,0.0719333640422666,0.7444444444444445,0.1911111111111111,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,0,-0.0003720273937416,0.0265400434565377,0.0208723788733888,0.7577777777777778,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
FE,1,0.0315003029689109,0.0471407068848139,0.0381256371995978,0.7711111111111111,1.0,450,power_power_N20_T50_rho0.8_xsd1,20,50,0.8,1.0,power
