est,h,bias,rmse,mae,coverage,rej_rate,n,cell,N,T,rho,sig_lam,het_rho,het_beta
CDOLS,5,-0.037548768235194,0.0573112709929303,0.0462826129819261,0.86,0.2433333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,6,-0.0353691329770717,0.0581438305312922,0.0469072023016811,0.87,0.1633333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,7,-0.0403310051265792,0.0630379850471087,0.0508374989821644,0.8566666666666667,0.16,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,8,-0.039110358586803,0.0612215086952751,0.05038296590125,0.9,0.1033333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,9,-0.0391443397931143,0.0666851320571545,0.0547192376215258,0.8733333333333333,0.1266666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
CDOLS,10,-0.0381117805239248,0.0662026395865927,0.0543210211932538,0.8533333333333334,0.15,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,0,0.0026904924941259,0.0286787754126062,0.0229058786889592,0.9133333333333332,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,1,0.0055442043498043,0.0304088364495272,0.0237606646123367,0.9233333333333332,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,2,0.0081293467658115,0.0332554788805871,0.0259688786093388,0.8966666666666666,0.99,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,3,0.0095564494315357,0.0359028882555964,0.0291232349591746,0.9,0.5766666666666667,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,4,0.0133391596764266,0.0370777937257721,0.0299076235719215,0.91,0.1566666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,5,0.0138500454314235,0.0351169719172447,0.0280139448713238,0.9166666666666666,0.05,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,6,0.0148794851547053,0.0371121515462221,0.029645817445488,0.9033333333333332,0.08,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,7,0.0118413193771613,0.0366275513349653,0.0293054213907759,0.93,0.0533333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,8,0.0132102940442515,0.0384585381022919,0.0311785197952859,0.9,0.0966666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,9,0.0144555834991203,0.0415940231514607,0.0336310173513698,0.9033333333333332,0.0933333333333333,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
DB,10,0.0139667736423607,0.0469891103952487,0.0373647032803521,0.8533333333333334,0.1466666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,0,0.0026904924941259,0.0286787754126062,0.0229058786889592,0.9133333333333332,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,1,0.0336902175880521,0.044476762327739,0.0366990643761634,0.78,1.0,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
FE,2,0.0490809850238172,0.0582722121248438,0.0507456906932127,0.66,0.9066666666666666,300,hetbeta_N50_T30_rho0.5_xsd0,50,30,0.5,0.0,0,1
