ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
724,1909,-0.035629038,0.033634838,0.026068848,0.065863028,,,0,0,0.0,,,0.0,0.0,0.0,0.017251395,0.038454004,0.030975014,0.050322376,0.002725,0.0038099999,-0.00033800001,0.001874
724,1910,0.069263875,0.061697885,0.10149207,,,,0,0,0.0,0.0,,0.0,0.0,0.0,-0.035629038,0.017251395,0.038454004,0.030975014,0.0064099999,0.002725,0.0038099999,-0.00033800001
724,1919,0.069741033,0.094187655,0.1359466,0.14878139,0.17667302,0.23672682,0,0,,,,,,,0.0062357686,,,,,,,
724,1920,0.024446622,0.066205561,0.079040356,0.10693198,0.16698578,0.16326281,0,0,0.0,,,0.0,,,0.069741033,0.0062357686,,,0.0043779998,,,
724,1921,0.041758943,0.054593738,0.08248537,0.14253917,0.13881621,0.22191849,0,0,0.0,0.0,,0.0,0.0,,0.024446622,0.069741033,0.0062357686,,0.00337,0.0043779998,,
724,1922,0.012834794,0.040726423,0.10078022,0.097057261,0.18015954,0.18405785,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041758943,0.024446622,0.069741033,0.0062357686,0.015041,0.00337,0.0043779998,
724,1923,0.02789163,0.087945424,0.084222466,0.16732475,0.17122306,0.23955896,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012834794,0.041758943,0.024446622,0.069741033,-0.0035949999,0.015041,0.00337,0.0043779998
724,1924,0.060053796,0.056330837,0.13943312,0.14333142,0.21166733,0.17750531,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02789163,0.012834794,0.041758943,0.024446622,-0.0058519999,-0.0035949999,0.015041,0.00337
724,1925,-0.0037229597,0.07937932,0.083277628,0.15161353,0.11745152,0.091664061,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.060053796,0.02789163,0.012834794,0.041758943,-0.0064030001,-0.0058519999,-0.0035949999,0.015041
724,1926,0.083102278,0.087000586,0.15533648,0.12117447,0.095387012,0.11673719,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037229597,0.060053796,0.02789163,0.012834794,0.002106,-0.0064030001,-0.0058519999,-0.0035949999
724,1927,0.0038983098,0.072234206,0.038072187,0.01228473,0.033634916,0.013870286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.083102278,-0.0037229597,0.060053796,0.02789163,0.00139,0.002106,-0.0064030001,-0.0058519999
724,1928,0.068335898,0.03417388,0.0083864219,0.029736606,0.0099719763,0.047047377,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038983098,0.083102278,-0.0037229597,0.060053796,0.0041800002,0.00139,0.002106,-0.0064030001
